date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:56	7926/7926	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2242e0430-1ef6-5991482c69000%22	https://hasnaanajmi.com/env/Evet/fonts/Flaticon.eot	E:/abc/hasnaanajmi.com/env/Evet/fonts/Flaticon.eot	(from https://hasnaanajmi.com/env/Evet/fonts/flaticon.css)
21:47:58	7926/7926	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2242e0430-1ef6-5991482c69000%22	https://hasnaanajmi.com/env/Evet/fonts/Flaticon.eot?	E:/abc/hasnaanajmi.com/env/Evet/fonts/Flaticond41d.eot	(from https://hasnaanajmi.com/env/Evet/fonts/flaticon.css)
21:48:12	4152/4152	---M--	200	added ('OK')	font/woff2	etag:%2242e0435-1038-5991482c69000%22	https://hasnaanajmi.com/env/Evet/fonts/Flaticon.woff2	E:/abc/hasnaanajmi.com/env/Evet/fonts/Flaticon.woff2	(from https://hasnaanajmi.com/env/Evet/fonts/flaticon.css)
21:48:14	5088/5088	---M--	200	added ('OK')	font/woff	etag:%2242e0434-13e0-5991482c69000%22	https://hasnaanajmi.com/env/Evet/fonts/Flaticon.woff	E:/abc/hasnaanajmi.com/env/Evet/fonts/Flaticon.woff	(from https://hasnaanajmi.com/env/Evet/fonts/flaticon.css)
21:48:17	7748/7748	---M--	200	added ('OK')	font/ttf	etag:%2242e0433-1e44-5991482c69000%22	https://hasnaanajmi.com/env/Evet/fonts/Flaticon.ttf	E:/abc/hasnaanajmi.com/env/Evet/fonts/Flaticon.ttf	(from https://hasnaanajmi.com/env/Evet/fonts/flaticon.css)
21:48:24	43917/43917	---M--	200	added ('OK')	image/svg+xml	etag:%2242e0432-ab8d-5991482c69000%22	https://hasnaanajmi.com/env/Evet/fonts/Flaticon.svg	E:/abc/hasnaanajmi.com/env/Evet/fonts/Flaticon.svg	(from https://hasnaanajmi.com/env/Evet/fonts/flaticon.css)
21:48:27	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2242e0438-286ac-55a89f0c4c500%22	https://hasnaanajmi.com/env/Evet/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/abc/hasnaanajmi.com/env/Evet/fonts/fontawesome-webfont3e6e.ttf	(from https://hasnaanajmi.com/env/Evet/css/font-awesome.min.css)
21:48:28	95/95	---M--	200	added ('OK')	image/png	etag:%2242e043f-5f-59a0059091c00%22	https://hasnaanajmi.com/env/Evet/images/bg-over.png	E:/abc/hasnaanajmi.com/env/Evet/images/bg-over.png	(from https://hasnaanajmi.com/env/Evet/css/main.css)
21:48:31	935/935	---M--	200	added ('OK')	image/png	etag:%2242e044c-3a7-59acd8f609d00%22	https://hasnaanajmi.com/env/Evet/images/pattern.png	E:/abc/hasnaanajmi.com/env/Evet/images/pattern.png	(from https://hasnaanajmi.com/env/Evet/css/main.css)
21:48:31	11209/11209	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jan%202020%2004:29:02%20GMT	https://hasnaanajmi.com/env/Evet/css/inner-pages.css	E:/abc/hasnaanajmi.com/env/Evet/css/inner-pages.css	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:48:32	23344/23344	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Jan%202020%2001:20:44%20GMT	https://hasnaanajmi.com/env/Evet/index.html	E:/abc/hasnaanajmi.com/env/Evet/index-2.html	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:48:32	65922/65922	---M--	200	added ('OK')	image/jpeg	etag:%2242e044a-10182-59ab43ade6f00%22	https://hasnaanajmi.com/env/Evet/images/home.jpg	E:/abc/hasnaanajmi.com/env/Evet/images/home.jpg	(from https://hasnaanajmi.com/env/Evet/css/main.css)
21:48:33	25135/25135	---M--	200	added ('OK')	image/jpeg	etag:%2242e0445-622f-59abbdb845d00%22	https://hasnaanajmi.com/env/Evet/images/blog/5.jpg	E:/abc/hasnaanajmi.com/env/Evet/images/blog/5.jpg	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:48:33	5381/5381	---M--	200	added ('OK')	image/jpeg	etag:%2242e0447-1505-593c954aeba80%22	https://hasnaanajmi.com/env/Evet/images/comments/1.jpg	E:/abc/hasnaanajmi.com/env/Evet/images/comments/1.jpg	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:48:34	3781/3781	---M--	200	added ('OK')	image/jpeg	etag:%2242e0448-ec5-588e0d7e95c00%22	https://hasnaanajmi.com/env/Evet/images/comments/2.jpg	E:/abc/hasnaanajmi.com/env/Evet/images/comments/2.jpg	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:48:34	2990/2990	---M--	200	added ('OK')	image/jpeg	etag:%2242e0449-bae-588e0d844e980%22	https://hasnaanajmi.com/env/Evet/images/comments/3.jpg	E:/abc/hasnaanajmi.com/env/Evet/images/comments/3.jpg	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:48:50	78786/78786	---M--	200	added ('OK')	image/jpeg	etag:%2242e0444-133c2-58bb9a8843300%22	https://hasnaanajmi.com/env/Evet/images/blog/4.jpg	E:/abc/hasnaanajmi.com/env/Evet/images/blog/4.jpg	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:49:12	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%2242e0437-6c7db-55a89f0c4c500%22	https://hasnaanajmi.com/env/Evet/fonts/fontawesome-webfont.svg?v=4.7.0	E:/abc/hasnaanajmi.com/env/Evet/fonts/fontawesome-webfont3e6e.svg	(from https://hasnaanajmi.com/env/Evet/css/font-awesome.min.css)
21:49:31	267621/267621	---M--	200	added ('OK')	image/jpeg	etag:%2242e0443-41565-589c49f5fbc00%22	https://hasnaanajmi.com/env/Evet/images/blog/3.jpg	E:/abc/hasnaanajmi.com/env/Evet/images/blog/3.jpg	(from https://hasnaanajmi.com/env/Evet/blog-single.html)
21:51:30	165742/165742	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:%2242e0436-2876e-55a89f0c4c500%22	https://hasnaanajmi.com/env/Evet/fonts/fontawesome-webfont.eot?v=4.7.0	E:/abc/hasnaanajmi.com/env/Evet/fonts/fontawesome-webfont3e6e.eot	(from https://hasnaanajmi.com/env/Evet/css/font-awesome.min.css)
